  PID TTY      STAT   TIME COMMAND
31202 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31212 ?        Z      0:00 [linker64] <defunct>
31213 ?        Z      0:00 [linker64] <defunct>
31214 ?        Z      0:00 [linker64] <defunct>
31218 ?        Z      0:00 [linker64] <defunct>
31219 ?        Z      0:00 [linker64] <defunct>
31220 ?        Z      0:00 [linker64] <defunct>
31221 ?        Z      0:00 [linker64] <defunct>
31222 ?        Z      0:00 [linker64] <defunct>
31230 pts/3    S      0:00 python3 /data/data/com.termux/files/usr/bin/python3 /data/data/com.termux/files/home/kesselflow/bin/kf_utility.py Snail
31231 ?        Z      0:00 [linker64] <defunct>
31234 ?        Z      0:00 [linker64] <defunct>
31236 ?        Z      0:00 [linker64] <defunct>
31237 ?        Z      0:00 [linker64] <defunct>
31239 ?        Z      0:00 [linker64] <defunct>
31240 ?        Z      0:00 [linker64] <defunct>
31241 ?        Z      0:00 [linker64] <defunct>
31242 ?        Z      0:00 [linker64] <defunct>
31243 ?        Z      0:00 [linker64] <defunct>
31244 ?        Z      0:00 [linker64] <defunct>
31245 ?        Z      0:00 [linker64] <defunct>
31254 ?        Z      0:00 [linker64] <defunct>
31255 ?        Z      0:00 [linker64] <defunct>
31256 ?        Z      0:00 [linker64] <defunct>
31257 ?        Z      0:00 [linker64] <defunct>
31259 ?        Z      0:00 [linker64] <defunct>
31260 ?        Z      0:00 [linker64] <defunct>
31265 ?        Z      0:00 [linker64] <defunct>
31266 ?        Z      0:00 [linker64] <defunct>
31273 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31275 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31283 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31284 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31287 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31288 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31292 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31295 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31296 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31297 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31304 ?        Z      0:00 [linker64] <defunct>
31308 ?        Z      0:00 [linker64] <defunct>
31309 ?        Z      0:00 [linker64] <defunct>
31310 ?        Z      0:00 [linker64] <defunct>
31311 ?        Z      0:00 [linker64] <defunct>
31312 ?        Z      0:00 [linker64] <defunct>
31318 ?        Z      0:00 [linker64] <defunct>
31324 ?        Z      0:00 [linker64] <defunct>
31325 ?        Z      0:00 [linker64] <defunct>
31326 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31345 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31362 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31374 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31437 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31438 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
31487 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -d 100
31488 pts/3    S      0:00 /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/sh /data/data/com.termux/files/usr/bin/termux-vibrate -f -d 500
31506 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ei duration_ms 100
31511 pts/3    S      0:00 /data/data/com.termux/files/usr/libexec/termux-api /data/data/com.termux/files/usr/libexec/termux-api Vibrate --ez force true --ei duration_ms 500
